えいにゃ！えいにゃ！†渚の小悪魔ラヴリィ～レイディオ† (STARDOM Remix)
Bad Boy Birdwatch
Bad Riddim
BANG BANG BANG
BLOW UP
BOOMBAYAH-Japanese version-
Break Free ft.Zedd
Butterfly
Crackin (Martin Garrix Edit)
Dat Disco Swindle
DAWN OF FALCON
Deep Vibes
Don't Stop!!
DOWNER & UPPER
DO YOU WANNA PARTY!!(DJ KEN-BOW MIX)
Drop That Low (When I Dip)
Dual Bladez
Field of Dreams
FLOWER (STARDOM Remix)
Fly Away
Forgetting Machine
Garuda
Gimme a Big Beat
Graveyard
Handz Up
HighBALL
Hoohah
Impress
Jalebi
Keep On Rising
LADY
Let's Go
LIT
Little Drop
Louder
LUV CAN SAVE U
Majestic
Mandrake
MEGA SHAKE IT !
Midnight Amaretto
NewAige
On The Floor Like
Oppress
PERFECT HUMAN
POP TEAM EPIC
Raise Your Hands
Raveology
Raw Crawler
REALLY REALLY-Japanese version-
Revolution
RISING FIRE HAWK
Robot Loves Smoked-Salmon
THE SAFARI (STARDOM Remix)
Sakura Sunrise
Saturday Night Love
Saturday Night Love -Phunk Disco Mix-
Second Heaven -Samba,Samba,SomeBody MIX-
SigSig
SKY's the limit
Small Steps
smooooch・∀・
Spacecats
Special One
Summer Venus
Summery
Sweets (Soda Pop)
VISIONARY
What Do You Mean?
Where's The Party At
Wicked
Without You
オンリーワンダー
君と野獣
サイレントマジョリティー
シュガーソングとビターステップ
制服のマネキン
ハッピーシンセサイザ
女々しくて
